"Table 1d: Non-overlapping 14-day swab test results, England, 26 April 2020 to 14 January 2023",,,,,,,,,,,,,,,,,,,,
"This worksheet contains one table. Notes specific to this table are: 12, 16, 17, 22 and can be found in the notes table.",,,,,,,,,,,,,,,,,,,,
Link to notes table,,,,,,,,,,,,,,,,,,,,
Link to contents table,,,,,,,,,,,,,,,,,,,,
[c] = confidential,,,,,,,,,,,,,,,,,,,,
Non-overlapping 14-day period,"England 
Number of tests positive for COVID-19","England
Total number of tests in sample ","North East
Number of tests positive for COVID-19","North East
Total number of tests in sample ","North West
Number of tests positive for COVID-19","North West
Total number of tests in sample ","Yorkshire and The Humber
Number of tests positive for COVID-19","Yorkshire and The Humber
Total number of tests in sample ","East Midlands
Number of tests positive for COVID-19","East Midlands
Total number of tests in sample ","West Midlands
Number of tests positive for COVID-19","West Midlands
Total number of tests in sample ","East of England
Number of tests positive for COVID-19","East of England
Total number of tests in sample ","London
Number of tests positive for COVID-19","London
Total number of tests in sample ","South East
Number of tests positive for COVID-19","South East
Total number of tests in sample ","South West
Number of tests positive for COVID-19","South West
Total number of tests in sample "
26 April 2020 to 09 May 2020,39,"13,522",[c],739,[c],"1,316",5,"1,459",8,"1,510",[c],"1,654",8,"1,607",4,"1,386",8,"2,215",[c],"1,636"
10 May 2020 to 23 May 2020,54,"30,465",[c],"1,613",12,"4,249",[c],"3,300",8,"3,066",8,"3,470",[c],"3,198",6,"2,872",8,"5,052",5,"3,645"
24 May 2020 to 06 June 2020,29,"37,034",[c],"2,006",15,"5,283",6,"4,012",[c],"3,500",[c],"3,922",[c],"4,176",[c],"3,123",[c],"6,626",[c],"4,386"
07 June 2020 to 20 June 2020,20,"37,556",[c],"2,147",4,"5,069",[c],"4,086",6,"3,402",[c],"3,399",[c],"4,482",4,"3,172",[c],"6,864",[c],"4,935"
21 June 2020 to 04 July 2020,16,"38,874",[c],"2,195",[c],"5,302",3,"4,211",[c],"3,636",[c],"3,864",[c],"4,486",4,"3,402",[c],"6,867",[c],"4,911"
05 July 2020 to 18 July 2020,19,"44,866",[c],"2,455",[c],"6,537",[c],"4,868",4,"4,196",[c],"4,748",[c],"4,656",4,"4,025",4,"8,142",[c],"5,239"
19 July 2020 to 01 August 2020,27,"41,980",[c],"2,269",7,"5,720",3,"4,575",[c],"4,013",[c],"4,209",4,"4,438",4,"3,751",[c],"7,785",3,"5,220"
02 August 2020 to 15 August 2020,22,"53,575",[c],"2,737",5,"7,272",4,"5,684",[c],"5,112",4,"5,615",[c],"5,041",[c],"5,273",3,"10,312",[c],"6,529"
16 August 2020 to 29 August 2020,46,"72,583",[c],"3,168",9,"10,809",9,"8,224",[c],"6,468",[c],"6,557",6,"7,091",8,"9,716",6,"12,273",4,"8,277"
30 August 2020 to 12 September 2020,110,"97,200",7,"4,346",36,"14,636",13,"10,810",7,"8,405",[c],"8,779",8,"9,060",23,"15,059",11,"15,821",[c],"10,284"
13 September 2020 to 26 September 2020,347,"147,986",35,"6,636",119,"23,354",60,"15,332",13,"12,236",17,"13,837",17,"15,769",53,"24,007",19,"22,525",14,"14,290"
27 September 2020 to 10 October 2020,"1,210","226,417",108,"10,965",378,"33,903",219,"22,583",88,"16,903",85,"21,047",57,"26,105",156,"42,818",65,"32,372",54,"19,721"
11 October 2020 to 24 October 2020,"2,152","252,624",143,"12,836",702,"36,601",358,"24,276",150,"18,810",183,"23,899",121,"31,727",288,"46,002",132,"36,828",75,"21,645"
25 October 2020 to 07 November 2020,"2,208","199,881",134,"10,542",605,"29,063",386,"19,993",188,"15,366",219,"19,146",141,"25,975",262,"34,908",167,"28,429",106,"16,459"
08 November 2020 to 21 November 2020,"2,403","215,349",135,"9,487",538,"28,656",357,"20,671",195,"16,148",275,"19,258",158,"28,099",373,"41,781",245,"31,889",127,"19,360"
22 November 2020 to 05 December 2020,"1,823","209,074",107,"8,302",347,"26,169",257,"18,903",137,"14,379",185,"17,706",135,"28,064",382,"45,994",193,"30,679",80,"18,878"
06 December 2020 to 19 December 2020,"2,123","191,976",88,"8,541",237,"26,662",186,"18,518",173,"14,424",161,"16,599",269,"24,904",635,"37,572",303,"27,818",71,"16,938"
20 December 2020 to 02 January 2021,"2,640","132,092",92,"6,044",303,"17,066",152,"11,749",152,"9,014",176,"11,736",374,"16,900",921,"27,460",385,"20,400",85,"11,723"
03 January 2021 to 16 January 2021,"3,568","182,236",170,"7,205",513,"25,194",172,"15,877",187,"11,936",245,"13,711",368,"22,125","1,197","41,022",514,"27,644",202,"17,522"
17 January 2021 to 30 January 2021,"2,931","177,654",97,"6,880",426,"23,247",164,"15,230",172,"12,471",242,"14,395",322,"19,901",976,"44,031",343,"24,718",189,"16,781"
31 January 2021 to 13 February 2021,"1,948","187,843",61,"7,236",305,"25,082",156,"17,181",144,"13,623",166,"15,794",201,"20,084",549,"43,928",234,"26,961",132,"17,954"
14 February 2021 to 27 February 2021,923,"174,028",52,"7,461",149,"22,639",92,"16,485",69,"13,016",94,"14,615",74,"19,158",242,"37,839",100,"26,511",51,"16,304"
28 February 2021 to 13 March 2021,509,"164,588",25,"6,923",67,"22,314",68,"15,874",44,"11,975",52,"14,026",43,"18,453",97,"34,337",79,"25,333",34,"15,353"
14 March 2021 to 27 March 2021,391,"148,048",26,"6,362",72,"19,862",62,"14,495",32,"10,791",43,"12,472",26,"16,995",80,"31,791",34,"22,370",16,"12,910"
28 March 2021 to 10 April 2021,316,"142,152",17,"6,287",77,"19,472",43,"13,840",31,"10,408",30,"12,435",14,"16,309",62,"29,426",33,"21,159",9,"12,816"
11 April 2021 to 24 April 2021,153,"139,186",[c],"6,221",29,"18,766",23,"13,074",16,"10,675",16,"12,265",9,"15,998",32,"28,824",23,"20,833",[c],"12,530"
25 April 2021 to 08 May 2021,108,"150,626",3,"6,591",19,"21,217",20,"15,401",8,"11,638",5,"14,135",6,"16,388",29,"29,276",14,"22,976",4,"13,004"
09 May 2021 to 22 May 2021,114,"145,221",[c],"6,784",11,"18,673",25,"14,476",9,"11,552",7,"13,543",16,"15,223",32,"29,618",9,"22,896",[c],"12,456"
23 May 2021 to 05 June 2021,212,"140,375",8,"7,045",72,"20,669",25,"15,213",19,"10,793",10,"13,120",8,"13,873",45,"26,274",18,"21,751",7,"11,637"
06 June 2021 to 19 June 2021,261,"145,746",16,"6,554",80,"16,589",32,"15,305",12,"11,578",19,"14,000",15,"14,365",56,"32,681",17,"23,155",14,"11,519"
