"la_name","CTY21NM"
"Hartlepool","Tees Valley"
"Middlesbrough","Tees Valley"
"Redcar and Cleveland","Tees Valley"
"Stockton-on-Tees","Tees Valley"
"Darlington","Tees Valley"
"Halton","Cheshire"
"Warrington","Cheshire"
"Blackburn with Darwen","Lancashire"
"Blackpool","Lancashire"
"Rutland","Rutland"
"Herefordshire, County of","Herefordshire"
"Bath and North East Somerset","West of England"
"Bristol, City of","West of England"
"North Somerset","Somerset"
"South Gloucestershire","West of England"
"Leicester","Leicestershire"
"Plymouth","Devon"
"Nottingham","Nottinghamshire"
"Torbay","Devon"
"Swindon","Wiltshire"
"Peterborough","Cambridgeshire"
"Southend-on-Sea","Essex"
"Thurrock","Essex"
"Medway","Kent"
"Bracknell Forest","Berkshire"
"West Berkshire","Berkshire"
"Reading","Berkshire"
"Windsor and Maidenhead","Berkshire"
"Wokingham","Berkshire"
"Milton Keynes","Buckinghamshire"
"Brighton and Hove","East Sussex"
"Portsmouth","Hampshire"
"Southampton","Hampshire"
"Isle of Wight","Isle of Wight"
"Shropshire","Shropshire"
"Cornwall and Isles of Scilly","Cornwall"
"Wiltshire","Wiltshire"
"Bedford","Bedfordshire"
"Central Bedfordshire","Bedfordshire"
"Bournemouth, Christchurch and Poole","Dorset"
"Dorset","Dorset"
"Buckinghamshire","Buckinghamshire"
"County Durham","County Durham"
"Cheshire East","Cheshire"
"Cheshire West and Chester","Cheshire"
"Cambridge","Cambridgeshire"
"East Cambridgeshire","Cambridgeshire"
"Fenland","Cambridgeshire"
"Huntingdonshire","Cambridgeshire"
"South Cambridgeshire","Cambridgeshire"
"Northumberland","Northumberland"
"Allerdale","Cumbria"
"Copeland","Cumbria"
"Eden","Cumbria"
"South Lakeland","Cumbria"
"East Devon","Devon"
"Exeter","Devon"
"Mid Devon","Devon"
"North Devon","Devon"
"South Hams","Devon"
"Teignbridge","Devon"
"Torridge","Devon"
"West Devon","Devon"
"Eastbourne","East Sussex"
"Hastings","East Sussex"
"Lewes","East Sussex"
"Rother","East Sussex"
"Wealden","East Sussex"
"Cheltenham","Gloucestershire"
"Cotswold","Gloucestershire"
"Forest of Dean","Gloucestershire"
"Gloucester","Gloucestershire"
"Stroud","Gloucestershire"
"Tewkesbury","Gloucestershire"
"Basingstoke and Deane","Hampshire"
"East Hampshire","Hampshire"
"Eastleigh","Hampshire"
"Fareham","Hampshire"
"Gosport","Hampshire"
"Hart","Hampshire"
"Havant","Hampshire"
"New Forest","Hampshire"
"Rushmoor","Hampshire"
"Test Valley","Hampshire"
"Winchester","Hampshire"
"Broxbourne","Hertfordshire"
"Dacorum","Hertfordshire"
"Hertsmere","Hertfordshire"
"North Hertfordshire","Hertfordshire"
"Three Rivers","Hertfordshire"
"Watford","Hertfordshire"
"Ashford","Kent"
"Canterbury","Kent"
"Dartford","Kent"
"Dover","Kent"
"Gravesham","Kent"
"Maidstone","Kent"
"Sevenoaks","Kent"
"Folkestone and Hythe","Kent"
"Swale","Kent"
"Thanet","Kent"
"Tonbridge and Malling","Kent"
"Tunbridge Wells","Kent"
"Blaby","Leicestershire"
"Harborough","Leicestershire"
"Hinckley and Bosworth","Leicestershire"
"Melton","Leicestershire"
"North West Leicestershire","Leicestershire"
"Boston","Lincolnshire"
"East Lindsey","Lincolnshire"
"Lincoln","Lincolnshire"
"North Kesteven","Lincolnshire"
"South Holland","Lincolnshire"
"South Kesteven","Lincolnshire"
"West Lindsey","Lincolnshire"
"Breckland","Norfolk"
"Broadland","Norfolk"
"Great Yarmouth","Norfolk"
"King's Lynn and West Norfolk","Norfolk"
"North Norfolk","Norfolk"
"Norwich","Norfolk"
"South Norfolk","Norfolk"
"Craven","North Yorkshire"
"Hambleton","North Yorkshire"
"Harrogate","North Yorkshire"
"Richmondshire","North Yorkshire"
"Ryedale","North Yorkshire"
"Scarborough","North Yorkshire"
"Selby","North Yorkshire"
"Cherwell","Oxfordshire"
"South Oxfordshire","Oxfordshire"
"Vale of White Horse","Oxfordshire"
"West Oxfordshire","Oxfordshire"
"Mendip","Somerset"
"Burnley","Lancashire"
"Chorley","Lancashire"
"Fylde","Lancashire"
"Hyndburn","Lancashire"
"Lancaster","Lancashire"
"Pendle","Lancashire"
"Preston","Lancashire"
"Ribble Valley","Lancashire"
"Rossendale","Lancashire"
"South Ribble","Lancashire"
"West Lancashire","Lancashire"
"Wyre","Lancashire"
"Sedgemoor","Somerset"
"South Somerset","Somerset"
"Babergh","Suffolk"
"Ipswich","Suffolk"
"Mid Suffolk","Suffolk"
"Epsom and Ewell","Surrey"
"Oadby and Wigston","Leicestershire"
"Guildford","Surrey"
"Mole Valley","Surrey"
"Reigate and Banstead","Surrey"
"Runnymede","Surrey"
"Spelthorne","Surrey"
"Surrey Heath","Surrey"
"Tandridge","Surrey"
"Waverley","Surrey"
"Woking","Surrey"
"North Warwickshire","Warwickshire"
"Nuneaton and Bedworth","Warwickshire"
"Rugby","Warwickshire"
"Stratford-on-Avon","Warwickshire"
"Warwick","Warwickshire"
"Adur","West Sussex"
"Arun","West Sussex"
"Chichester","West Sussex"
"Crawley","West Sussex"
"Horsham","West Sussex"
"Mid Sussex","West Sussex"
"Worthing","West Sussex"
"Ashfield","Nottinghamshire"
"Bassetlaw","Nottinghamshire"
"Broxtowe","Nottinghamshire"
"Gedling","Nottinghamshire"
"Mansfield","Nottinghamshire"
"Newark and Sherwood","Nottinghamshire"
"Rushcliffe","Nottinghamshire"
"Bromsgrove","Worcestershire"
"Malvern Hills","Worcestershire"
"Redditch","Worcestershire"
"Worcester","Worcestershire"
"Wychavon","Worcestershire"
"Wyre Forest","Worcestershire"
"St Albans","Hertfordshire"
"Welwyn Hatfield","Hertfordshire"
"East Hertfordshire","Hertfordshire"
"Stevenage","Hertfordshire"
"East Suffolk","Suffolk"
"West Suffolk","Suffolk"
"Somerset West and Taunton","Somerset"
"Kingston upon Hull, City of","East Riding of Yorkshire"
"East Riding of Yorkshire","East Riding of Yorkshire"
"North East Lincolnshire","Lincolnshire"
"North Lincolnshire","Lincolnshire"
"York","North Yorkshire"
"Derby","Derbyshire"
"Telford and Wrekin","Shropshire"
"Stoke-on-Trent","Staffordshire"
"Luton","Bedfordshire"
"Slough","Berkshire"
"Barrow-in-Furness","Cumbria"
"Carlisle","Cumbria"
"Amber Valley","Derbyshire"
"Bolsover","Derbyshire"
"Chesterfield","Derbyshire"
"Derbyshire Dales","Derbyshire"
"Erewash","Derbyshire"
"North East Derbyshire","Derbyshire"
"South Derbyshire","Derbyshire"
"Basildon","Essex"
"Braintree","Essex"
"Brentwood","Essex"
"Castle Point","Essex"
"Chelmsford","Essex"
"Colchester","Essex"
"Epping Forest","Essex"
"Harlow","Essex"
"Maldon","Essex"
"Rochford","Essex"
"Tendring","Essex"
"Uttlesford","Essex"
"Charnwood","Leicestershire"
"Oxford","Oxfordshire"
"Cannock Chase","Staffordshire"
"East Staffordshire","Staffordshire"
"Lichfield","Staffordshire"
"Newcastle-under-Lyme","Staffordshire"
"South Staffordshire","Staffordshire"
"Stafford","Staffordshire"
"Staffordshire Moorlands","Staffordshire"
"Tamworth","Staffordshire"
"Elmbridge","Surrey"
"Bolton","Greater Manchester"
"Bury","Greater Manchester"
"Manchester","Greater Manchester"
"Oldham","Greater Manchester"
"Rochdale","Greater Manchester"
"Salford","Greater Manchester"
"Stockport","Greater Manchester"
"Tameside","Greater Manchester"
"Trafford","Greater Manchester"
"Wigan","Greater Manchester"
"Knowsley","Merseyside"
"Liverpool","Merseyside"
"St. Helens","Merseyside"
"Sefton","Merseyside"
"Wirral","Merseyside"
"Barnsley","South Yorkshire"
"Doncaster","South Yorkshire"
"Rotherham","South Yorkshire"
"Sheffield","South Yorkshire"
"Newcastle upon Tyne","Tyne and Wear"
"North Tyneside","Tyne and Wear"
"South Tyneside","Tyne and Wear"
"Sunderland","Tyne and Wear"
"Birmingham","West Midlands"
"Coventry","West Midlands"
"Dudley","West Midlands"
"Sandwell","West Midlands"
"Solihull","West Midlands"
"Walsall","West Midlands"
"Wolverhampton","West Midlands"
"Bradford","West Yorkshire"
"Calderdale","West Yorkshire"
"Kirklees","West Yorkshire"
"Leeds","West Yorkshire"
"Wakefield","West Yorkshire"
"Gateshead","Tyne and Wear"
"Barking and Dagenham","Outer London"
"Barnet","Outer London"
"Bexley","Outer London"
"Brent","Outer London"
"Bromley","Outer London"
"Camden","Inner London"
"Croydon","Outer London"
"Ealing","Outer London"
"Enfield","Outer London"
"Greenwich","Outer London"
"Hackney and City of London","Inner London"
