"long","lat","order","hole","piece","id","group"
448906.0417,536703.7201,1,FALSE,"1","E06000001","E06000001.1"
448926.003,536676.6973,2,FALSE,"1","E06000001","E06000001.1"
448888.7023,536643.6968,3,FALSE,"1","E06000001","E06000001.1"
448868.304,536624.9022,4,FALSE,"1","E06000001","E06000001.1"
453098.3007,534104.2037,5,FALSE,"1","E06000001","E06000001.1"
453336.3113,533293.6437,6,FALSE,"1","E06000001","E06000001.1"
451894.2004,534021.0989,7,FALSE,"1","E06000001","E06000001.1"
452468.6003,533509.6,8,FALSE,"1","E06000001","E06000001.1"
452386.6967,533341.8322,9,FALSE,"1","E06000001","E06000001.1"
452174.11,533352.62,10,FALSE,"1","E06000001","E06000001.1"
452034.2739,532619.9444,11,FALSE,"1","E06000001","E06000001.1"
451738.6989,532014.5011,12,FALSE,"1","E06000001","E06000001.1"
452817.5989,529606.9005,13,FALSE,"1","E06000001","E06000001.1"
453401.1743,529190.996,14,FALSE,"1","E06000001","E06000001.1"
454449.4024,528445.3035,15,FALSE,"1","E06000001","E06000001.1"
453760.8997,528150.699,16,FALSE,"1","E06000001","E06000001.1"
453469.5758,526793.6261,17,FALSE,"1","E06000001","E06000001.1"
452466.5128,526692.2307,18,FALSE,"1","E06000001","E06000001.1"
452185.2938,526288.4778,19,FALSE,"1","E06000001","E06000001.1"
451148.5004,525456.799,20,FALSE,"1","E06000001","E06000001.1"
449537.399,526239.405,21,FALSE,"1","E06000001","E06000001.1"
448090.9019,525608.7955,22,FALSE,"1","E06000001","E06000001.1"
445354.8031,526096.096,23,FALSE,"1","E06000001","E06000001.1"
444216.0036,528004.8996,24,FALSE,"1","E06000001","E06000001.1"
443410.7002,527859.9011,25,FALSE,"1","E06000001","E06000001.1"
443024.0975,526445.396,26,FALSE,"1","E06000001","E06000001.1"
440052.7012,527819.7026,27,FALSE,"1","E06000001","E06000001.1"
442604.5971,528543.3955,28,FALSE,"1","E06000001","E06000001.1"
442166.2979,529897.9977,29,FALSE,"1","E06000001","E06000001.1"
443235.8966,532101.7969,30,FALSE,"1","E06000001","E06000001.1"
442351.0037,533093.603,31,FALSE,"1","E06000001","E06000001.1"
443974.9015,533135.301,32,FALSE,"1","E06000001","E06000001.1"
445116.8012,535009.9045,33,FALSE,"1","E06000001","E06000001.1"
444836.197,536055.4952,34,FALSE,"1","E06000001","E06000001.1"
447097.001,537152.0013,35,FALSE,"1","E06000001","E06000001.1"
448290.1026,536324.7981,36,FALSE,"1","E06000001","E06000001.1"
448906.0417,536703.7201,37,FALSE,"1","E06000001","E06000001.1"
451894.3886,521145.4057,38,FALSE,"1","E06000002","E06000002.1"
453997.6967,517983.2983,39,FALSE,"1","E06000002","E06000002.1"
451913.304,516875.4954,40,FALSE,"1","E06000002","E06000002.1"
454380.8035,514732.1989,41,FALSE,"1","E06000002","E06000002.1"
454495.2037,513716.0997,42,FALSE,"1","E06000002","E06000002.1"
455944.603,513640.0015,43,FALSE,"1","E06000002","E06000002.1"
